Time,Hans Zimmer
The Medallion Calls,Klaus Badelt
This Is Berk,John Powell
Test Drive - From How To Train Your Dragon Music From The Motion Picture,John Powell
Page 47,Trevor Rabin
National Treasure Suite,Trevor Rabin
See You Tomorrow,John Powell
New Tail,John Powell
Discombobulate,Hans Zimmer
Astrid Goes For A Spin,John Powell
Romantic Flight - From How To Train Your Dragon Music From The Motion Picture,John Powell
Coming Back Around,John Powell
Forbidden Friendship,John Powell
Dragon Battle,John Powell
The Downed Dragon,John Powell
Dragon Training,John Powell
Ready The Ships,John Powell
The Vikings Have Their Tea,John Powell
Dragon's Den,John Powell
The Cove,John Powell
Not So Fireproof,John Powell
Wounded,John Powell
The Dragon Book,John Powell
Where's Hiccup?,John Powell
Ender's War,Steve Jablonsky
This Time For Sure,John Powell
Battling The Green Death,John Powell
Oogway Ascends,Hans Zimmer;John Powell
He's A Pirate,Klaus Badelt
One Last Shot,Klaus Badelt
Underwater March,Klaus Badelt
Bootstrap's Bootstraps,Klaus Badelt
Skull And Crossbones,Klaus Badelt
The Bridge of Khazad Dum,Howard Shore
To The Pirates' Cave!,Klaus Badelt
Moonlight Serenade,Klaus Badelt
Blood Ritual,Klaus Badelt
Barbossa Is Hungry,Klaus Badelt
Walk The Plank,Klaus Badelt
Swords Crossed,Klaus Badelt
Will And Elizabeth,Klaus Badelt
The Black Pearl,Klaus Badelt
Fog Bound,Klaus Badelt
Now You See Me,Brian Tyler
Spider-Man: Homecoming Suite,Michael Giacchino
The Adventures of Tintin,John Williams
Snowy's Theme,John Williams
The Secret of the Scrolls,John Williams
Introducing the Thompsons and Snowy's Chase,John Williams
Marinsipike Hall,John Williams
Escape from the Karaboudjan,John Williams
Sir Francis and the Unicorn,John Williams
Captain Haddock Takes the Oars,John Williams
Red Rackham's Curse and the Treasure,John Williams
Capturing Mr. Silk,John Williams
The Flight to Bagghar,John Williams
The Milanese Nightingale,John Williams
Presenting Bianca Castafiore,John Williams
"Le chemin (From ""Epic"" Soundtrack)",Danny Elfman;Pete Anthony
Finding Charlotte,Trevor Rabin
The Captain's Counsel,John Williams
John Williams
The Clash of the Cranes,John Williams
The Return to Marlinspike Hall and Finale,John Williams
The Adventure Continues,John Williams
My Dear Frodo,Howard Shore
Old Friends - Extended Version,Howard Shore
An Unexpected Party - Extended Version,Howard Shore
The Adventure Begins,Howard Shore
Erebor - Exclusive Bonus Track,Howard Shore
Strider,Howard Shore
The Three Hunters,Howard Shore
End Credits,Michael Giacchino
Night At The Museum,Alan Silvestri
Ben,Trevor Rabin
The Battle,Harry Gregson-Williams
STAY,Hans Zimmer
No Time for Caution,Hans Zimmer
Cornfield Chase,Hans Zimmer
Mountains,Hans Zimmer
The Wardrobe,Harry Gregson-Williams
Star Wars (Main Theme),John Williams;London Symphony Orchestra
The Imperial March (Darth Vader's Theme),John Williams;London Symphony Orchestra
Duel of the Fates,John Williams;London Symphony Orchestra
The Book of Boba Fett,Ludwig Göransson
Cantina Band,John Williams;London Symphony Orchestra
The Mandalorian,Ludwig Göransson
Finale,John Williams;London Symphony Orchestra
Main Title,John Williams;London Symphony Orchestra
The Throne Room and End Title,John Williams;London Symphony Orchestra
The World Is Ahead,Howard Shore
The Riddle of the Rohirrim,Howard Shore
The Battle of the Pelennor Fields,Howard Shore
Rivendell,Howard Shore
The Shire,Howard Shore
$165 Million + Interest (Intro) The Round Up,David Holmes
$160 Million Chinese Man,David Holmes
Lifting the Building,David Holmes
Kensington Chump,David Holmes
Benedict Returns,David Holmes
11, 12 & 13,David Holmes
7-29-04 The Day Of,David Holmes
Crepusculo Sul Mare (Twilight On the Sea),Piero Umiliani
10:35 I Turn off Camera 3,David Holmes
The a la menthe (The Laser Dance Version) [Instrumental],La Caution
Sons of Odin,Patrick Doyle
The Glory Days,Michael Giacchino
End Credits,John Williams
"Asgard - From ""Thor: The Dark World"" / Score",Brian Tyler
A New Hope and End Credits,John Williams;London Symphony Orchestra
Welcome To Jurassic Park,John Williams
The Incredits,Michael Giacchino
Diggin' the New Digs,Michael Giacchino
The End?,Hans Zimmer
"End Credits - From ""Pirates of the Caribbean: On Stranger Tides"" / Score",Hans Zimmer
Library of Congress,Trevor Rabin
2815 A.D.,Thomas Newman
Captain America,Alan Silvestri
Theme From Jurassic Park,John Williams
A Promise,Alan Silvestri
My Fist Hungers For Justice,John Powell;Hans Zimmer
To Aslan's Camp,Harry Gregson-Williams
The Dying Gull,Geoff Zanelli
The Riders of Rohan,Howard Shore
"Thor: The Dark World - From ""Thor: The Dark World"" / Score",Brian Tyler
March of the Resistance,John Williams
The Ring Goes South,Howard Shore
The Bourne Identity Main Title,John Powell
Heroes,Danny Elfman
Prologue: One Ring to Rule Them All,Howard Shore
Destruction Comes Before a Fall,Jørgen Beck
The Plot Thickens,Jørgen Beck
How Many Will Die,Jørgen Beck
Will and Franklin Discover the Plot,Jørgen Beck
Charlotte Rescues Will,Jørgen Beck
Love Is Given, Not Earned,Jørgen Beck
I Thought You Were Dead,Jørgen Beck
Can a Man Be Forgiven?,Jørgen Beck
The Man Behind the Mask,Jørgen Beck
Of Masks and Shadows,Jørgen Beck
The Highway Man,Jørgen Beck
Go and Cause Havoc,Jørgen Beck
The Island,Jørgen Beck
Concerto Grosso No. 8 - Adagio,Arcangelo Corelli
Arriving in the New World,Jørgen Beck
The Oath,Jørgen Beck
Forgiveness - Not Revenge,Jørgen Beck
Not Seeing Eye to Eye,Jørgen Beck
Feeling Like New,Jørgen Beck
What Is the Will of God,Jørgen Beck
Charlotte,Jørgen Beck
Will Recovering,Jørgen Beck
Indian Nightmares,Jørgen Beck
Dragon Warrior Rises,Hans Zimmer;John Powell
Opening Titles,David Arnold
Merry Men,Marc Streitenfeld
Define Dancing,Thomas Newman
Les Aventures de Tintin - Thème du générique,Ciné-Trio;Philippe Barbey-Lallia;Cyril Baleton;Timothée Oudinet
Dream of Arrakis,Hans Zimmer
Gom Jabbar,Hans Zimmer
Leaving Caladan,Hans Zimmer
Can You Hear The Music,Ludwig Göransson
"Kingdom Dance - From ""Tangled"" / Score",Alan Menken
First Class,Henry Jackman
Po Finds The Truth,John Powell;Hans Zimmer
"At Wit's End - From ""Pirates of the Caribbean: At World's End"" / Score",Hans Zimmer
Up Is Down,Hans Zimmer
"Up Is Down (From ""Pirates of the Caribbean: At World's End"")",The City of Prague Philharmonic Orchestra
Singapore,Hans Zimmer
"The Pirate That Should Not Be - From ""Pirates of the Caribbean: On Stranger Tides"" / Soundtrack Version",Rodrigo y Gabriela
Jack Sparrow,Hans Zimmer
Drink Up Me Hearties Yo Ho,Hans Zimmer
Drink Up," Me Hearties (From ""Pirates of the Caribbean: At World's End"")",The City of Prague Philharmonic Orchestra
Guilty of Being Innocent of Being Jack Sparrow,Hans Zimmer
Davy Jones,Hans Zimmer
One Day,Hans Zimmer
Beyond My Beloved Horizon,Geoff Zanelli
My Name Is Barbossa,Geoff Zanelli
Evacuating London,Harry Gregson-Williams
First Flight,Henry Jackman
Opening Titles,Alexandre Desplat;London Symphony Orchestra
My Fist Hungers For Justice,John Powell;Hans Zimmer
"Run Llama Run - From ""The Emperor's New Groove"" / Score",John Debney
Song of the Lonely Mountain - Extended Version,Neil Finn
Misty Mountains,Richard Armitage;The Dwarf Cast
Rise,Hans Zimmer
Toothless Found,John Powell
Toothless Found,John Powell
Zen Ball Master,John Powell;Hans Zimmer
Rise Above,Vegar Margeirsson
Only The Beginning of The Adventure,Harry Gregson-Williams
More Cannons!,John Powell;Hans Zimmer
Oblivion,M83;Susanne Sundfør
F1,Hans Zimmer
Newt Says Goodbye to Tina / Jacob's Bakery,James Newton Howard
"The Fantastic Four: First Steps Main Theme - From ""The Fantastic Four: First Steps""",Michael Giacchino
Kiss the Ring,Hans Zimmer
"Final Ascent - Single Edit / From ""No Time to Die"" Soundtrack",Hans Zimmer
Herald of the Change,Hans Zimmer
Toothless Lost,John Powell
Save Kung Fu,John Powell;Hans Zimmer
Separate Ways (Worlds Apart) - Steve Perry & Bryce Miller Extended Remix,Journey;Steve Perry
Meet the IMF,Joe Kraemer
Finale and Curtain Call,Joe Kraemer
Main Titles - from Mission: Impossible - The Final Reckoning,Max Aruj;Alfie Godfrey
